name,pid,memory_usage,status
python,84762,131072,running
python3.9,84764,27062272,running
zsh,84823,163840,running
zsh,84824,163840,running
zsh,84825,163840,running
trustd,85226,10747904,running
Google Chrome Helper,85411,7880704,running
TV,86917,33292288,running
AMPLibraryAgent,86922,9584640,running
System Preferences,86985,8765440,running
studentd,86993,13811712,running
AccountProfileRemoteViewService,86998,8224768,running
AvatarPickerMemojiPicker,87002,12615680,running
com.apple.preferences.Bluetooth.remoteservice,87010,8339456,running
loginwindow,363,14598144,running
distnoted,513,3670016,running
cfprefsd,514,3817472,running
UserEventAgent,531,7782400,running
lsd,536,9617408,running
nsurlsessiond,540,11616256,running
usernoted,541,9846784,running
rapportd,543,12009472,running
lockoutagent,545,4734976,running
secd,548,11649024,running
backgroundtaskmanagementagent,551,4620288,running
sharedfilelistd,552,5685248,running
NotificationCenter,559,14057472,running
identityservicesd,563,18169856,running
itunescloudd,564,10813440,running
Microsoft Word,572,56360960,running
bird,575,6619136,running
coreauthd,584,5472256,running
sharingd,585,19431424,running
pboard,586,5079040,running
cloudd,589,25968640,running
Messages,597,31866880,running
Preview,600,68075520,running
Google Chrome,601,60325888,running
Microsoft PowerPoint,607,32129024,running
Music,608,0,stopped
Terminal,609,35225600,running
Xcode,611,29179904,running
Microsoft Excel,612,58998784,running
Mail,614,34570240,running
App Store,615,0,stopped
spindump_agent,616,1736704,running
Calendar,617,11927552,running
Notes,618,0,stopped
Dock,620,20332544,running
ControlCenter,621,41582592,running
SystemUIServer,623,5521408,running
Finder,624,45727744,running
Spotlight,627,6979584,running
fontd,628,8994816,running
com.apple.Safari.History,631,16384000,running
fontworker,632,2195456,running
CalendarAgent,633,14614528,running
AMPDeviceDiscoveryAgent,635,3244032,running
useractivityd,641,9895936,running
com.apple.dock.extra,645,6586368,running
commerce,650,13565952,running
familycircled,651,7602176,running
avconferenced,654,5931008,running
UIKitSystem,656,5783552,running
imagent,659,14221312,running
imklaunchagent,662,4112384,running
PasswordBreachAgent,664,5439488,running
WiFiAgent,666,10223616,running
corespotlightd,671,22609920,running
mdwrite,680,3014656,running
passd,682,5947392,running
PAH_Extension,687,7389184,running
icdd,696,3309568,running
mediaremoteagent,734,1982464,running
mdbulkimport,742,9322496,running
com.apple.WebKit.WebContent,751,7733248,running
com.apple.WebKit.Networking,753,6520832,running
com.apple.CoreSimulator.CoreSimulatorService,808,2899968,running
SimLaunchHost.arm64,810,376832,running
SimulatorTrampoline,812,2572288,running
corespeechd,818,4308992,running
AirPlayUIAgent,835,4063232,running
cloudpaird,837,9601024,running
diagnostics_agent,838,5373952,running
TextInputMenuAgent,839,8437760,running
ctkahp,843,2195456,running
com.apple.WebKit.WebContent,854,7356416,running
com.apple.WebKit.Networking,856,7208960,running
com.apple.dt.SKAgent,874,5947392,running
XCBBuildService,876,1556480,running
GPUToolsAgent,879,1490944,running
storeaccountd,1007,6897664,running
chrome_crashpad_handler,1181,737280,running
Google Chrome Helper (GPU),1188,26230784,running
Google Chrome Helper,1190,15253504,running
Google Chrome Helper,1192,7192576,running
com.apple.speech.speechsynthesisd,1333,1064960,running
Microsoft Update Assistant,1649,7651328,running
callservicesd,2406,14057472,running
accountsd,5704,15450112,running
Teams,7262,61423616,running
chrome_crashpad_handler,7335,737280,running
Microsoft Teams Helper (GPU),7336,23789568,running
Microsoft Teams Helper,7338,22888448,running
Microsoft Teams Helper (Renderer),7341,12255232,running
Microsoft Teams Helper,7342,8110080,running
parsecd,14319,13860864,running
ControlCenterHelper,18017,6356992,running
CommCenter,19187,8044544,running
Safari,32911,112345088,running
com.apple.WebKit.Networking,32913,51183616,running
com.apple.WebKit.GPU,32972,14614528,running
OneDrive,34865,19202048,running
com.apple.Safari.SearchHelper,35180,9912320,running
Numbers,35276,17317888,running
tccd,38583,10878976,running
Microsoft Teams Helper (Renderer),39243,116359168,running
Microsoft Teams Helper (Renderer),39249,42631168,running
Microsoft Teams Helper (Renderer),39250,37535744,running
zsh,44488,720896,running
bash,44500,688128,running
python3.7,44502,7299072,running
python3.7,44513,4620288,running
python3.7,44583,4644864,running
com.apple.WebKit.WebContent,49014,128008192,running
contentlinkingd,49118,6504448,running
siriactionsd,49134,13434880,running
reversetemplated,49601,8126464,running
BiomeAgent,49776,3309568,running
containermanagerd,49779,8257536,running
AudioComponentRegistrar,49780,4145152,running
dmd,49800,8945664,running
akd,49829,11108352,running
SafariBookmarksSyncAgent,50037,14254080,running
ContextService,50420,14450688,running
zoom.us,50503,36601856,running
universalAccessAuthWarn,50508,11255808,running
caphost,50513,5193728,running
com.apple.SafariPlatformSupport.Helper,50516,16842752,running
com.apple.WebKit.WebContent,50517,13729792,running
translationd,50518,19349504,running
com.apple.WebKit.WebContent,50582,127909888,running
com.apple.WebKit.WebContent,50758,190005248,running
WiFiVelocityAgent,51058,3489792,running
com.apple.WebKit.WebContent,51096,29868032,running
zsh,51107,786432,running
bash,51117,737280,running
python3.7,51119,39186432,running
com.apple.WebKit.WebContent,51128,131170304,running
com.apple.WebKit.WebContent,51131,102989824,running
python3.7,51137,12091392,running
com.apple.WebKit.WebContent,51139,57851904,running
python3.7,51149,12083200,running
com.apple.hiservices-xpcservice,51160,4161536,running
python3.7,51165,32972800,running
syncdefaultsd,51172,12763136,running
cdpd,51177,4964352,running
vcxpc,51182,11845632,running
Siri,51188,22659072,running
swcd,51192,8552448,running
AppleSpell,51198,93421568,running
keyboardservicesd,51199,9289728,running
contactsd,51200,9732096,running
proactiveeventtrackerd,51201,4210688,running
SidecarRelay,51202,7143424,running
pkd,51205,12959744,running
com.apple.accessibility.mediaaccessibilityd,51206,2375680,running
UniversalControl,51207,19283968,running
Keychain Circle Notification,51208,17760256,running
StatusKitAgent,51209,8077312,running
AssetCacheLocatorService,51212,6111232,running
ContextStoreAgent,51217,14123008,running
ScreenTimeAgent,51218,19873792,running
secinitd,51219,4177920,running
sociallayerd,51226,20054016,running
ImageIOXPCService,51227,4341760,running
triald,51229,7733248,running
networkserviceproxy,51230,16777216,running
com.apple.WebKit.WebContent,51231,199704576,running
com.apple.geod,51233,14614528,running
neagent,51234,11354112,running
ctkd,51246,7553024,running
BTLEServerAgent,51255,5898240,running
assistantd,51256,40878080,running
SiriNCService,51257,21987328,running
com.apple.siri.embeddedspeech,51258,12976128,running
homed,51259,26591232,running
siriknowledged,51260,12926976,running
assistant_service,51266,50348032,running
csnameddatad,51268,2555904,running
com.apple.quicklook.ThumbnailsAgent,51274,16613376,running
CoreServicesUIAgent,51275,15155200,running
ScopedBookmarkAgent,51286,4882432,running
mdworker_shared,51313,9928704,running
IMAutomaticHistoryDeletionAgent,52205,2932736,running
knowledge-agent,52929,15581184,running
IMTranscoderAgent,54069,5914624,running
ViewBridgeAuxiliary,54725,6094848,running
PowerChime,54868,6864896,running
storedownloadd,54898,2850816,running
DiskUnmountWatcher,58438,1277952,running
mbuseragent,71252,5292032,running
suggestd,71681,60735488,running
photolibraryd,72498,8306688,running
talagent,77658,5668864,running
com.apple.WebKit.WebContent,82810,6979584,running
com.apple.WebKit.Networking,82813,6324224,running
python,84762,131072,running
python3.9,84764,19255296,running
zsh,84823,163840,running
zsh,84824,163840,running
zsh,84825,163840,running
trustd,85226,10665984,running
Google Chrome Helper,85411,8011776,running
TV,86917,27164672,running
AMPLibraryAgent,86922,9453568,running
System Preferences,86985,15597568,running
studentd,86993,10338304,running
AccountProfileRemoteViewService,86998,8224768,running
AvatarPickerMemojiPicker,87002,12451840,running
com.apple.preferences.Bluetooth.remoteservice,87010,7749632,running
loginwindow,363,13320192,running
distnoted,513,3751936,running
cfprefsd,514,4030464,running
UserEventAgent,531,8716288,running
lsd,536,9732096,running
nsurlsessiond,540,10092544,running
usernoted,541,9535488,running
rapportd,543,11927552,running
lockoutagent,545,4702208,running
secd,548,11436032,running
backgroundtaskmanagementagent,551,3522560,running
sharedfilelistd,552,4669440,running
NotificationCenter,559,13910016,running
identityservicesd,563,18038784,running
itunescloudd,564,10043392,running
Microsoft Word,572,55558144,running
bird,575,6619136,running
coreauthd,584,5472256,running
sharingd,585,19267584,running
pboard,586,4964352,running
cloudd,589,26394624,running
Messages,597,31358976,running
Preview,600,64831488,running
Google Chrome,601,69746688,running
Microsoft PowerPoint,607,32309248,running
Music,608,0,stopped
Terminal,609,30539776,running
Xcode,611,27557888,running
Microsoft Excel,612,58769408,running
Mail,614,41566208,running
App Store,615,0,stopped
spindump_agent,616,1736704,running
Calendar,617,11583488,running
Notes,618,0,stopped
Dock,620,18022400,running
ControlCenter,621,41238528,running
SystemUIServer,623,5521408,running
Finder,624,46825472,running
Spotlight,627,6979584,running
fontd,628,9060352,running
com.apple.Safari.History,631,16154624,running
fontworker,632,2195456,running
CalendarAgent,633,20643840,running
AMPDeviceDiscoveryAgent,635,3014656,running
useractivityd,641,10272768,running
com.apple.dock.extra,645,6602752,running
commerce,650,10633216,running
familycircled,651,7307264,running
avconferenced,654,5537792,running
UIKitSystem,656,5783552,running
imagent,659,13729792,running
imklaunchagent,662,4112384,running
PasswordBreachAgent,664,5488640,running
WiFiAgent,666,9912320,running
corespotlightd,671,22380544,running
mdwrite,680,2605056,running
passd,682,5308416,running
PAH_Extension,687,7700480,running
icdd,696,3309568,running
mediaremoteagent,734,1998848,running
mdbulkimport,742,7913472,running
com.apple.WebKit.WebContent,751,7684096,running
com.apple.WebKit.Networking,753,5619712,running
com.apple.CoreSimulator.CoreSimulatorService,808,2916352,running
SimLaunchHost.arm64,810,393216,running
SimulatorTrampoline,812,2588672,running
corespeechd,818,4177920,running
AirPlayUIAgent,835,4063232,running
cloudpaird,837,9650176,running
diagnostics_agent,838,5226496,running
TextInputMenuAgent,839,8781824,running
ctkahp,843,2195456,running
com.apple.WebKit.WebContent,854,9388032,running
com.apple.WebKit.Networking,856,6258688,running
com.apple.dt.SKAgent,874,6340608,running
XCBBuildService,876,1605632,running
GPUToolsAgent,879,1490944,running
storeaccountd,1007,4587520,running
chrome_crashpad_handler,1181,1949696,running
Google Chrome Helper (GPU),1188,25968640,running
Google Chrome Helper,1190,29573120,running
Google Chrome Helper,1192,7127040,running
com.apple.speech.speechsynthesisd,1333,1081344,running
Microsoft Update Assistant,1649,3702784,running
callservicesd,2406,13647872,running
accountsd,5704,14073856,running
Teams,7262,63078400,running
chrome_crashpad_handler,7335,753664,running
Microsoft Teams Helper (GPU),7336,24690688,running
Microsoft Teams Helper,7338,23609344,running
Microsoft Teams Helper (Renderer),7341,12337152,running
Microsoft Teams Helper,7342,8257536,running
parsecd,14319,13533184,running
ControlCenterHelper,18017,6356992,running
CommCenter,19187,8060928,running
Safari,32911,121913344,running
com.apple.WebKit.Networking,32913,53051392,running
com.apple.WebKit.GPU,32972,17580032,running
OneDrive,34865,17367040,running
com.apple.Safari.SearchHelper,35180,8339456,running
Numbers,35276,16711680,running
tccd,38583,10682368,running
Microsoft Teams Helper (Renderer),39243,121257984,running
Microsoft Teams Helper (Renderer),39249,41910272,running
Microsoft Teams Helper (Renderer),39250,37715968,running
zsh,44488,720896,running
bash,44500,688128,running
python3.7,44502,7299072,running
python3.7,44513,4620288,running
python3.7,44583,4644864,running
com.apple.WebKit.WebContent,49014,119701504,running
contentlinkingd,49118,7782400,running
siriactionsd,49134,13320192,running
reversetemplated,49601,8142848,running
BiomeAgent,49776,3260416,running
containermanagerd,49779,7061504,running
AudioComponentRegistrar,49780,4161536,running
dmd,49800,8732672,running
akd,49829,11010048,running
SafariBookmarksSyncAgent,50037,14401536,running
